City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
Neuroburg,Autonomous Vehicle,Clear,Booming,Thursday,14,37.9849,0,0,34.5317,0.075
TechHaven,Autonomous Vehicle,Clear,Recession,Monday,9,91.7274,0,0,83.3885,0.0668
Ecoopolis,Drone,Electromagnetic Storm,Stable,Thursday,16,79.4121,0,0,39.7061,0.38
TechHaven,Drone,Clear,Stable,Monday,22,86.8433,0,0,49.3428,0.2295
AquaCity,Car,Electromagnetic Storm,Recession,Thursday,19,25.8175,0,0,25.8175,0.3384
MetropolisX,Flying Car,Electromagnetic Storm,Recession,Tuesday,1,32.7618,0,0,47.0264,0.1625
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Tuesday,13,102.1471,0,0,92.861,0.1439
AquaCity,Autonomous Vehicle,Solar Flare,Recession,Tuesday,16,85.2651,0,0,68.2121,0.2649
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Saturday,20,89.1488,0,0,71.3191,0.1185
Ecoopolis,Autonomous Vehicle,Clear,Booming,Saturday,8,45.0192,0,0,36.0154,0.2686
Neuroburg,Autonomous Vehicle,Clear,Booming,Friday,18,32.0665,1,0,19.9326,0.1377
Neuroburg,Drone,Clear,Booming,Friday,20,44.8026,0,0,25.456,0.1053
SolarisVille,Car,Rainy,Booming,Tuesday,13,22.1097,0,0,22.1097,0.3742
MetropolisX,Autonomous Vehicle,Clear,Recession,Sunday,13,89.5572,1,0,65.1325,0.2344
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,7,107.3168,0,0,85.8535,0.1668
TechHaven,Drone,Rainy,Booming,Friday,6,85.5592,0,0,51.1717,0.1782
Neuroburg,Drone,Rainy,Stable,Tuesday,17,22.9125,1,0,10.9629,0.1328
Neuroburg,Car,Rainy,Stable,Friday,19,49.7469,0,0,59.5059,0.1002
AquaCity,Autonomous Vehicle,Rainy,Recession,Saturday,6,16.141,0,0,12.9128,0.1525
MetropolisX,Autonomous Vehicle,Clear,Recession,Thursday,19,105.1678,0,0,96.5728,0.2037
TechHaven,Autonomous Vehicle,Rainy,Booming,Tuesday,19,68.7723,0,0,60.936,0.1622
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Tuesday,22,21.3314,0,0,17.0651,0.1145
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Stable,Wednesday,4,59.2897,0,0,56.7365,0.0927
MetropolisX,Drone,Clear,Recession,Tuesday,14,97.7618,0,0,55.5464,0.2731
SolarisVille,Flying Car,Rainy,Stable,Tuesday,14,91.5959,0,0,109.9151,0.3741
SolarisVille,Car,Solar Flare,Booming,Sunday,9,97.2532,0,0,97.2532,0.248
TechHaven,Autonomous Vehicle,Snowy,Booming,Monday,18,56.5283,1,0,62.6088,0.1674
SolarisVille,Autonomous Vehicle,Solar Flare,Booming,Monday,19,26.7945,0,0,23.8173,0.1965
TechHaven,Autonomous Vehicle,Rainy,Recession,Monday,2,53.9652,0,0,51.6414,0.0892
Neuroburg,Autonomous Vehicle,Rainy,Booming,Sunday,18,21.0254,0,0,20.12,0.0802
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,11,90.6745,0,0,86.7698,0.0932
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Wednesday,10,17.816,0,0,14.2528,0.1736
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Friday,3,92.5427,0,0,84.1297,0.131
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,19,81.2863,0,0,66.4837,0.0722
MetropolisX,Drone,Electromagnetic Storm,Recession,Thursday,4,89.4055,0,0,53.4722,0.0928
MetropolisX,Autonomous Vehicle,Rainy,Recession,Monday,12,98.3481,0,0,94.113,0.2009
MetropolisX,Car,Solar Flare,Stable,Sunday,23,71.7884,0,0,81.5777,0.3771
SolarisVille,Autonomous Vehicle,Rainy,Stable,Wednesday,17,21.3138,1,0,17.051,0.3492
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Tuesday,8,76.032,1,0,67.7408,0.0852
Neuroburg,Autonomous Vehicle,Clear,Booming,Friday,18,128.9401,1,0,80.1492,0.1129
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,5,33.2019,0,0,31.7722,0.2019
Neuroburg,Autonomous Vehicle,Rainy,Booming,Friday,16,69.5714,0,0,66.5755,0.057
AquaCity,Autonomous Vehicle,Snowy,Stable,Thursday,20,62.6078,0,0,55.6514,0.3727
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Sunday,7,31.1117,0,0,24.8893,0.1133
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Tuesday,12,33.6829,0,0,26.9463,0.2223
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,16,84.4989,0,0,75.1101,0.1902
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Saturday,5,47.5613,0,0,38.0491,0.1803
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Tuesday,18,62.208,1,0,63.7188,0.2231
Neuroburg,Autonomous Vehicle,Clear,Recession,Saturday,12,62.4166,1,0,45.3939,0.0731
Ecoopolis,Autonomous Vehicle,Clear,Recession,Tuesday,3,23.3931,0,0,18.7145,0.0797
MetropolisX,Car,Electromagnetic Storm,Booming,Wednesday,1,86.2909,0,0,103.2188,0.3742
Ecoopolis,Car,Snowy,Stable,Wednesday,8,61.2081,1,0,61.2081,0.3489
Ecoopolis,Autonomous Vehicle,Solar Flare,Booming,Sunday,15,31.1827,0,0,24.9462,0.3783
SolarisVille,Autonomous Vehicle,Clear,Recession,Saturday,8,88.1826,0,0,70.546,0.1074
TechHaven,Autonomous Vehicle,Snowy,Stable,Sunday,4,38.1151,0,0,36.4738,0.2405
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Tuesday,3,87.2222,0,0,79.2929,0.2402
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Friday,7,52.5249,1,0,42.0199,0.1795
Ecoopolis,Drone,Electromagnetic Storm,Booming,Monday,14,54.7802,0,0,27.3901,0.1961
MetropolisX,Autonomous Vehicle,Clear,Recession,Friday,21,56.1414,0,0,51.5532,0.1297
SolarisVille,Autonomous Vehicle,Snowy,Booming,Saturday,13,86.4,1,0,78.013,0.2628
SolarisVille,Drone,Clear,Recession,Tuesday,22,82.1205,0,0,41.0603,0.1809
TechHaven,Drone,Snowy,Stable,Wednesday,21,77.3364,0,0,46.2539,0.1499
SolarisVille,Autonomous Vehicle,Solar Flare,Booming,Saturday,7,32.3789,0,0,25.9031,0.1304
Ecoopolis,Drone,Electromagnetic Storm,Recession,Thursday,18,58.5219,1,0,29.261,0.1014
AquaCity,Autonomous Vehicle,Clear,Recession,Saturday,4,52.0959,0,0,41.6767,0.1208
Ecoopolis,Drone,Rainy,Recession,Sunday,5,87.5605,0,0,43.7802,0.1319
Ecoopolis,Drone,Rainy,Stable,Wednesday,9,45.8283,0,1,22.9142,0.3002
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,22,43.9681,0,0,42.0747,0.1593
Neuroburg,Autonomous Vehicle,Rainy,Booming,Monday,5,72.1916,0,0,69.0829,0.0897
Neuroburg,Drone,Rainy,Booming,Monday,2,88.0885,0,0,52.6845,0.0547
TechHaven,Flying Car,Snowy,Stable,Monday,14,46.2765,0,0,66.4255,0.1701
Ecoopolis,Drone,Clear,Recession,Wednesday,14,32.3563,0,0,16.1782,0.068
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Stable,Sunday,6,54.7878,0,0,52.4285,0.1012
SolarisVille,Autonomous Vehicle,Snowy,Stable,Friday,17,71.7996,1,0,57.4397,0.3516
Neuroburg,Autonomous Vehicle,Clear,Booming,Monday,9,67.6064,0,0,61.4603,0.1343
Neuroburg,Autonomous Vehicle,Rainy,Stable,Wednesday,11,16.0057,0,0,15.3165,0.0962
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Wednesday,14,47.5822,0,0,38.0658,0.1988
TechHaven,Autonomous Vehicle,Snowy,Booming,Monday,23,72.3821,0,0,69.2652,0.1238
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,22,57.2562,0,0,54.7907,0.1917
Neuroburg,Autonomous Vehicle,Clear,Stable,Monday,9,70.6381,0,0,64.2165,0.1093
Neuroburg,Autonomous Vehicle,Rainy,Booming,Saturday,9,56.7637,0,0,54.3193,0.1388
Neuroburg,Autonomous Vehicle,Snowy,Recession,Saturday,6,43.0886,0,1,41.2331,0.0917
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Friday,21,77.76,0,0,73.5757,0.2004
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Sunday,21,70.8175,0,0,56.654,0.1074
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,21,29.1408,0,0,28.1676,0.1654
TechHaven,Drone,Rainy,Stable,Wednesday,20,34.9753,0,0,20.9183,0.192
TechHaven,Autonomous Vehicle,Rainy,Booming,Wednesday,13,50.3726,0,0,48.2034,0.2194
AquaCity,Drone,Solar Flare,Recession,Sunday,18,30.0002,0,0,15.0001,0.0795
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Wednesday,19,28.6641,0,0,22.272,0.1167
SolarisVille,Autonomous Vehicle,Clear,Stable,Saturday,6,79.2852,0,0,70.4758,0.2595
TechHaven,Drone,Snowy,Recession,Thursday,14,51.2721,0,0,30.6651,0.0675
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,13,23.7186,0,0,22.6972,0.0858
TechHaven,Drone,Rainy,Recession,Friday,13,30.794,0,0,25.5798,0.0514
MetropolisX,Autonomous Vehicle,Rainy,Recession,Sunday,8,75.3826,0,1,72.1365,0.1155
Neuroburg,Drone,Clear,Recession,Sunday,5,22.5715,0,0,12.8247,0.0621
Neuroburg,Drone,Solar Flare,Booming,Thursday,19,42.985,0,0,24.4233,0.1538
SolarisVille,Drone,Solar Flare,Stable,Sunday,15,116.5319,0,0,58.266,0.1517
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Friday,18,50.0145,1,0,31.089,0.106
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Monday,18,55.2091,1,0,49.0748,0.1491
TechHaven,Drone,Clear,Recession,Monday,7,72.3132,1,0,32.8696,0.093
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Saturday,12,37.9556,1,0,30.3645,0.2588
SolarisVille,Flying Car,Electromagnetic Storm,Recession,Friday,0,72.5733,0,0,87.0879,0.0862
TechHaven,Autonomous Vehicle,Rainy,Stable,Thursday,23,79.8298,0,1,76.3922,0.1245
Neuroburg,Drone,Clear,Recession,Friday,15,105.0353,0,1,59.6792,0.0562
TechHaven,Drone,Solar Flare,Stable,Wednesday,8,62.2903,1,0,28.3138,0.2964
AquaCity,Drone,Rainy,Recession,Monday,6,22.994,0,0,11.497,0.2037
SolarisVille,Autonomous Vehicle,Snowy,Booming,Friday,10,17.1817,0,0,17.1817,0.2426
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Friday,3,80.0832,0,0,64.0665,0.2235
Ecoopolis,Autonomous Vehicle,Rainy,Stable,Thursday,5,83.6913,0,0,66.953,0.1946
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Stable,Saturday,23,82.4731,0,0,65.9784,0.2378
Neuroburg,Autonomous Vehicle,Rainy,Booming,Tuesday,3,69.4638,0,0,66.4725,0.0553
TechHaven,Drone,Rainy,Recession,Tuesday,22,23.3134,0,0,13.9434,0.0899
TechHaven,Drone,Clear,Recession,Friday,6,54.0873,0,0,30.7314,0.0671
Neuroburg,Drone,Solar Flare,Booming,Tuesday,12,35.4396,0,0,20.1361,0.1614
Neuroburg,Drone,Solar Flare,Booming,Friday,4,71.0406,0,0,40.364,0.1355
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Stable,Sunday,11,64.9137,0,0,51.9309,0.181
Neuroburg,Autonomous Vehicle,Rainy,Booming,Friday,23,82.2281,0,0,78.6872,0.0727
Neuroburg,Drone,Clear,Stable,Thursday,10,53.3201,0,0,30.2955,0.128
Neuroburg,Autonomous Vehicle,Rainy,Stable,Tuesday,21,57.4748,0,0,47.0084,0.0686
AquaCity,Autonomous Vehicle,Clear,Recession,Friday,19,46.5718,0,0,41.3972,0.2255
Neuroburg,Autonomous Vehicle,Snowy,Booming,Sunday,11,44.9713,0,0,43.0347,0.0999
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Saturday,21,31.5043,0,0,25.2034,0.133
Ecoopolis,Drone,Electromagnetic Storm,Recession,Tuesday,14,48.8038,0,0,27.1132,0.073
TechHaven,Autonomous Vehicle,Clear,Stable,Friday,13,58.4043,0,0,53.0948,0.2964
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,6,60.3471,0,0,57.7484,0.3451
TechHaven,Autonomous Vehicle,Solar Flare,Stable,Wednesday,6,85.7443,0,0,77.9494,0.2279
TechHaven,Drone,Electromagnetic Storm,Recession,Sunday,14,38.0193,1,0,18.1911,0.0577
TechHaven,Drone,Clear,Booming,Tuesday,2,69.2931,0,0,39.3711,0.2567
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Sunday,10,86.4,0,0,94.5124,0.1982
SolarisVille,Autonomous Vehicle,Rainy,Booming,Sunday,22,106.4665,0,0,85.1732,0.2052
Neuroburg,Drone,Snowy,Booming,Monday,11,75.8988,0,0,45.394,0.0824
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Thursday,5,75.329,0,1,66.9591,0.1672
SolarisVille,Autonomous Vehicle,Rainy,Recession,Monday,20,31.3129,0,0,27.8336,0.2361
SolarisVille,Drone,Clear,Recession,Monday,9,93.026,0,0,46.513,0.1021
SolarisVille,Drone,Solar Flare,Booming,Thursday,13,107.5517,0,0,53.7759,0.1835
Ecoopolis,Autonomous Vehicle,Rainy,Stable,Saturday,11,37.5815,0,0,30.0652,0.1822
Neuroburg,Drone,Clear,Stable,Saturday,20,97.9325,0,0,55.6434,0.067
TechHaven,Autonomous Vehicle,Rainy,Stable,Sunday,11,80.27,0,0,76.8134,0.127
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Monday,19,66.7323,0,0,64.5037,0.0898
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Friday,0,115.5248,0,0,92.4198,0.199
TechHaven,Autonomous Vehicle,Clear,Stable,Thursday,13,38.2793,0,0,34.7994,0.2455
SolarisVille,Autonomous Vehicle,Rainy,Recession,Friday,1,51.0559,0,0,40.8447,0.0637
MetropolisX,Autonomous Vehicle,Clear,Recession,Sunday,17,31.9284,0,0,29.0258,0.0798
Neuroburg,Autonomous Vehicle,Clear,Booming,Monday,17,58.8413,1,0,42.7937,0.1135
SolarisVille,Autonomous Vehicle,Snowy,Booming,Saturday,19,42.4413,0,0,33.9531,0.2602
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Saturday,14,66.4918,1,0,50.9028,0.208
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Saturday,14,27.3784,1,0,21.9027,0.1082
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Wednesday,8,87.2703,1,0,66.8098,0.1145
Ecoopolis,Drone,Clear,Booming,Thursday,14,39.3025,0,0,19.6513,0.1539
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,6,76.8236,0,0,61.4588,0.2337
Ecoopolis,Drone,Electromagnetic Storm,Booming,Tuesday,1,96.0,0,0,50.3289,0.2574
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Booming,Thursday,15,80.6517,0,0,64.5214,0.1331
Neuroburg,Drone,Clear,Stable,Wednesday,20,31.5254,0,0,17.9122,0.1373
TechHaven,Autonomous Vehicle,Rainy,Booming,Wednesday,17,81.9988,1,0,62.7742,0.1802
Ecoopolis,Drone,Solar Flare,Stable,Thursday,6,30.3571,0,0,15.1786,0.2133
TechHaven,Drone,Snowy,Stable,Monday,2,29.4028,0,0,17.5854,0.2366
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,11,56.2828,0,0,53.8591,0.0828
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Recession,Friday,1,95.9355,0,0,91.8043,0.0788
Neuroburg,Drone,Snowy,Booming,Sunday,12,97.563,1,0,46.6809,0.0921
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Thursday,9,46.0447,0,0,36.8357,0.1349
TechHaven,Autonomous Vehicle,Rainy,Booming,Wednesday,23,52.6875,0,0,50.4186,0.1997
TechHaven,Autonomous Vehicle,Clear,Booming,Wednesday,10,62.3054,0,0,56.6413,0.2578
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Monday,10,50.2012,0,0,40.1609,0.0861
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Sunday,10,99.1757,0,0,90.1597,0.0804
Neuroburg,Autonomous Vehicle,Rainy,Recession,Monday,12,45.9448,0,0,43.9663,0.0512
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Tuesday,15,85.3052,0,0,68.2442,0.2079
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Sunday,15,65.8413,0,0,52.6731,0.2877
MetropolisX,Drone,Rainy,Stable,Tuesday,3,67.0018,0,0,40.0728,0.3735
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Thursday,9,38.9427,0,0,35.4024,0.0739
SolarisVille,Drone,Snowy,Recession,Wednesday,1,56.3232,0,0,28.1616,0.1343
Ecoopolis,Autonomous Vehicle,Clear,Recession,Saturday,23,80.3902,0,1,64.3122,0.1017
Neuroburg,Autonomous Vehicle,Clear,Recession,Sunday,23,26.4068,0,0,24.0062,0.0862
AquaCity,Autonomous Vehicle,Solar Flare,Recession,Wednesday,9,69.5876,0,0,55.6701,0.1299
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Wednesday,23,75.5341,0,0,68.6674,0.1365
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,7,51.8641,1,0,39.7046,0.1246
TechHaven,Drone,Clear,Stable,Friday,7,55.3625,1,0,25.1648,0.2137
Neuroburg,Drone,Electromagnetic Storm,Stable,Monday,4,65.1097,0,0,38.9412,0.1263
Neuroburg,Drone,Rainy,Stable,Tuesday,4,77.6633,0,0,46.4493,0.1552
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Friday,18,126.1003,1,0,92.6356,0.1706
Ecoopolis,Drone,Solar Flare,Booming,Wednesday,15,21.1958,0,0,10.5979,0.2025
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Friday,12,79.9584,0,0,76.5153,0.2948
TechHaven,Autonomous Vehicle,Rainy,Stable,Monday,3,25.8655,0,0,24.7517,0.1907
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Stable,Saturday,13,45.4928,1,0,36.3942,0.3696
AquaCity,Drone,Solar Flare,Recession,Wednesday,0,88.6035,0,1,44.3017,0.2191
Neuroburg,Drone,Snowy,Stable,Tuesday,19,94.3862,0,0,56.4511,0.0682
AquaCity,Drone,Electromagnetic Storm,Recession,Friday,8,80.9712,1,0,40.4856,0.2152
MetropolisX,Autonomous Vehicle,Snowy,Recession,Sunday,20,96.4856,0,0,92.3307,0.1922
MetropolisX,Autonomous Vehicle,Clear,Stable,Friday,12,24.7079,0,0,22.4617,0.3478
TechHaven,Autonomous Vehicle,Snowy,Stable,Friday,5,62.0709,0,0,59.398,0.1528
Neuroburg,Autonomous Vehicle,Rainy,Stable,Friday,0,20.6174,0,0,19.7296,0.1532
TechHaven,Autonomous Vehicle,Clear,Stable,Friday,8,38.4747,1,1,27.9816,0.2678
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,7,111.6199,0,0,106.8133,0.1123
TechHaven,Drone,Clear,Recession,Monday,18,74.3904,1,0,33.8138,0.064
Ecoopolis,Flying Car,Clear,Stable,Saturday,6,67.2407,0,0,80.6888,0.2311
Ecoopolis,Drone,Rainy,Stable,Thursday,5,86.4,0,0,50.8108,0.1756
Neuroburg,Drone,Rainy,Stable,Friday,16,26.7876,0,0,16.0213,0.0997
Neuroburg,Drone,Electromagnetic Storm,Stable,Saturday,8,74.1971,0,0,44.3763,0.1079
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Wednesday,23,89.7404,0,0,85.876,0.0691
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Tuesday,21,24.7625,0,0,19.2405,0.0872
SolarisVille,Flying Car,Solar Flare,Booming,Thursday,0,78.9591,0,0,94.751,0.1998
TechHaven,Drone,Rainy,Recession,Tuesday,4,35.9487,0,0,21.5004,0.1216
AquaCity,Flying Car,Snowy,Recession,Friday,13,61.6147,0,1,73.9376,0.2516
SolarisVille,Drone,Electromagnetic Storm,Stable,Saturday,2,75.4198,0,0,37.7099,0.3488
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Recession,Wednesday,7,84.48,1,0,69.7345,0.0927
SolarisVille,Autonomous Vehicle,Snowy,Recession,Tuesday,12,66.2116,0,0,52.9693,0.2131
Ecoopolis,Autonomous Vehicle,Solar Flare,Booming,Thursday,16,84.3788,0,0,67.503,0.1388
SolarisVille,Car,Snowy,Recession,Friday,15,27.0219,0,0,27.0219,0.0939
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Wednesday,1,23.6747,0,0,21.5224,0.1912
Ecoopolis,Drone,Rainy,Recession,Thursday,9,69.7458,0,0,34.8729,0.1362
Ecoopolis,Drone,Electromagnetic Storm,Stable,Tuesday,17,76.8,1,0,43.812,0.2935
Ecoopolis,Flying Car,Solar Flare,Recession,Saturday,15,67.3006,0,0,80.7607,0.0896
TechHaven,Autonomous Vehicle,Snowy,Booming,Wednesday,11,27.7288,0,1,26.5347,0.1923
TechHaven,Autonomous Vehicle,Snowy,Recession,Saturday,15,29.449,0,0,28.1809,0.0921
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Tuesday,0,40.3019,0,0,36.6381,0.1747
AquaCity,Car,Snowy,Recession,Sunday,13,74.8688,1,0,74.8688,0.2168
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Recession,Tuesday,10,118.8,0,0,100.0518,0.2137
AquaCity,Autonomous Vehicle,Solar Flare,Booming,Thursday,7,86.4,1,0,70.5481,0.2945
Neuroburg,Autonomous Vehicle,Rainy,Booming,Monday,7,80.2132,1,0,61.4072,0.1905
Neuroburg,Autonomous Vehicle,Rainy,Booming,Friday,0,55.0028,0,0,52.6342,0.0908
Ecoopolis,Autonomous Vehicle,Clear,Booming,Sunday,20,26.1896,0,0,20.9517,0.2613
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Thursday,9,24.3506,0,0,19.4805,0.1574
Ecoopolis,Car,Clear,Recession,Thursday,13,59.5796,0,0,59.5796,0.1138
Neuroburg,Drone,Clear,Booming,Wednesday,20,38.4616,0,0,21.8532,0.1169
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Wednesday,16,59.5431,0,0,56.9791,0.0702
TechHaven,Autonomous Vehicle,Solar Flare,Stable,Friday,18,89.2764,1,0,60.1188,0.2638
Neuroburg,Autonomous Vehicle,Clear,Stable,Wednesday,16,56.2834,0,0,51.1667,0.0844
TechHaven,Flying Car,Clear,Stable,Wednesday,13,67.7671,0,0,92.4097,0.1996
MetropolisX,Autonomous Vehicle,Rainy,Recession,Saturday,15,50.5912,0,0,48.4127,0.17
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Wednesday,1,71.785,0,0,68.6938,0.0852
Neuroburg,Drone,Snowy,Booming,Thursday,3,71.6634,0,0,42.8609,0.1321
AquaCity,Drone,Snowy,Recession,Tuesday,2,28.7188,0,0,14.3594,0.2428
SolarisVille,Drone,Rainy,Recession,Sunday,9,68.3707,0,0,34.1854,0.0818
MetropolisX,Flying Car,Electromagnetic Storm,Recession,Thursday,10,51.0515,0,0,73.2796,0.2809
SolarisVille,Autonomous Vehicle,Solar Flare,Recession,Friday,14,53.4931,0,0,42.7945,0.0696
Ecoopolis,Car,Solar Flare,Booming,Thursday,14,67.064,0,0,67.064,0.2797
Ecoopolis,Drone,Snowy,Stable,Thursday,11,58.8527,0,0,29.4264,0.2629
SolarisVille,Autonomous Vehicle,Clear,Recession,Thursday,15,25.5878,0,0,20.4703,0.1132
MetropolisX,Autonomous Vehicle,Clear,Recession,Sunday,1,31.2661,0,0,28.4237,0.2148
SolarisVille,Autonomous Vehicle,Solar Flare,Booming,Thursday,11,48.7547,0,0,39.0038,0.1532
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,10,58.2737,0,0,55.7643,0.1219
